Index,Bankrupt?, ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ¥), Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability,cluster
79,0,0.588992346,0.629851723,0.62503346,0.603907522,0.60393635,0.999057135,0.797533196,0.809423241,0.303591235,0.78168801,7760000000.0,5640000000.0,0.468433104,0.001309131,0.194857779,0.197589651,0.197589651,0.197589651,0.252623617,0.330975454,0.069256016,0.126374074,0.20810424,0.022093302,0.848033993,0.689423696,0.689423696,0.217595694,9730000000.0,0.000518876,0.264078296,0.393157856,0.009653636,0.007137982,0.630688963,0.00502102,0.104785803,0.895214197,0.005210883,0.370332802,0.005365848,0.126337388,0.207194028,0.399343268,0.299850075,0.003520234,0.001796624,0.000251452,0.000424395,0.057580645,0.070469868,0.414599398,0.025358664,0.805788616,0.40846975,0.534099689,0.264315695,0.007164985,0.013499203,0.103650037,0.360378542,0.277328935,0.006779394,0.931159116,0.73545505,0.330417912,0.0,0.947669579,0.002565642,0.024873026,7320000000.0,5840000000.0,0.59393716,0.000111968,0.671572338,0.370663458,0.931159116,0.330417912,0.110933234,0.643053558,0.459304366,0.632277108,0.314584208,0.030211435,0,0.844837074,0.005544584,0.623843731,0.603906738,0.843552647,0.278420197,0.026810636,0.565249596,1,0.036122475,1
113,0,0.546775216,0.626635412,0.598586648,0.614443852,0.614443852,0.999109478,0.79760624,0.80950162,0.303609362,0.781743729,0.000193691,0.000162994,0.47770816,0.0,0.085939872,0.198516708,0.198516708,0.198516708,0.250638177,0.345971564,0.045283361,0.126618354,0.208706786,0.022104886,0.848018512,0.689442479,0.68944297,0.217593906,6390000000.0,0.00048127,0.264077519,0.401819977,0.016774987,0.014131234,0.630629032,0.004164729,0.092450948,0.907549052,0.015029315,0.369637181,0.005445671,0.126606087,0.205881909,0.399711692,0.175412294,0.001251864,0.005050872,0.000107574,0.004552603,0.038548387,0.031699543,0.407656996,0.000848459,0.897698652,0.730004836,0.840062586,0.266435137,0.014075799,0.01490911,0.094558998,0.38764983,0.277105985,0.007319889,0.958360917,0.740776119,0.329813503,0.0,0.950555527,0.002455204,0.042589336,0.000186329,0.000166171,0.594002349,0.000164386,0.671613261,0.018929335,0.958360917,0.329813503,0.110933234,0.72882609,0.482544954,0.707686272,0.326242163,0.017487869,0,0.852116561,0.002678824,0.624045892,0.614443037,0.843833739,0.277799715,0.026795932,0.565181064,1,0.04127403,1
123,0,0.52576415,0.596325774,0.581133894,0.599050145,0.599230315,0.999005369,0.797613987,0.809516853,0.303840668,0.781786957,5370000000.0,312000000.0,0.461020105,0.00029603,0.046664642,0.265981206,0.265981206,0.265981206,0.261132646,0.316828181,0.047098326,0.105040306,0.209610605,0.022078447,0.848007713,0.689449664,0.689449693,0.217598784,6810000000.0,0.000471563,0.264102385,0.369360307,0.01397874,0.013135584,0.630616361,0.002455795,0.062490552,0.937509448,0.008340767,0.369718822,0.005409111,0.1050206,0.208687128,0.400416386,0.110944528,0.000419993,0.015060393,0.000318137,0.000877537,0.024677419,0.02277808,0.395332534,0.003204792,0.827844804,0.484401184,0.494741417,0.103354173,0.013243457,0.008165108,0.066838157,0.339571455,0.277029248,0.00225287,0.98346212,0.735977233,0.328418985,0.0,0.950183759,0.002884997,0.009791564,0.000177265,0.000179402,0.593988939,0.000102809,0.671542204,0.061715026,0.98346212,0.328418985,0.110933234,0.603790102,0.443919406,0.562276819,0.309923524,0.020970863,0,0.833514856,0.015226825,0.625342576,0.599048203,0.842254304,0.276560449,0.026792318,0.565163927,1,0.06174572,1
127,0,0.552966412,0.638410379,0.617752556,0.612714222,0.611993543,0.999135245,0.798046162,0.809956009,0.304324308,0.782181064,0.000128588,896000000.0,0.478449628,0.0,0.0,0.317685728,0.317685728,0.317685728,0.301692351,0.333840277,0.031777001,0.121081345,0.246139941,0.022115427,0.84804391,0.689364776,0.689364776,0.217588603,5980000000.0,0.000471413,0.263782238,0.374837003,0.020162184,0.017116934,0.630612252,0.001056913,0.030534813,0.969465187,0.005691833,0.369753491,0.005365848,0.121028547,0.245230375,0.395263812,0.059970015,0.000722307,0.008750859,0.00026177,0.000141465,0.016612903,0.017396413,0.4020488,0.018430254,0.805668935,0.268962172,0.282971472,0.093497486,0.018513802,0.018312665,0.026674078,0.379551924,0.277037736,0.004606843,0.755426875,0.734465586,0.326963477,0.0,0.967944738,0.003261942,0.010755998,0.000183383,0.000179989,0.594009313,0.000166032,0.671543173,0.260294082,0.755426875,0.326963477,0.110933234,0.621710989,0.443343289,0.607278766,0.312349985,0.014543302,0,0.860961695,0.005874802,0.625288783,0.612709795,0.843414128,0.275545867,0.02679116,0.56515841,1,0.122196784,1
128,0,0.542777751,0.595671609,0.587183468,0.597262861,0.597262861,0.999001672,0.797443275,0.809355929,0.303550146,0.781616992,2590000000.0,1050000000.0,0.459111078,0.000268027,0.17724466,0.246260166,0.246260166,0.246302305,0.264914437,0.311346113,0.215648018,0.136552398,0.2191007,0.022091848,0.848028488,0.689475777,0.689475777,0.217602659,8110000000.0,0.000477477,0.264231376,0.368997057,0.014996521,0.002910839,0.630925604,0.00765555,0.134867128,0.865132872,0.005599759,0.376587792,0.00570525,0.136254824,0.217856874,0.406333942,0.44077961,0.006758443,0.000935884,0.000135662,0.000975126,0.093870968,0.131330876,0.409929671,0.019541594,0.847854108,0.172698612,0.593500497,0.020089599,0.004229521,0.001420551,0.074730596,0.337042655,0.277577936,0.028140661,0.520097865,0.739300527,0.329803307,0.010797756,0.945575995,0.00263886,0.013534473,4730000000.0,90700000.0,0.593939903,542000000.0,0.671572348,0.240668422,0.520097865,0.329803307,0.122022746,0.643175046,0.459320776,0.548776228,0.314608348,0.019556415,0,0.828357435,0.013386722,0.623468461,0.597260749,0.842798579,0.280331145,0.026869463,0.565506018,1,0.027365443,1
136,0,0.626432019,0.659180113,0.661170298,0.599533,0.599533,0.999043153,0.79748118,0.809385745,0.303529602,0.781649554,2080000000.0,1290000000.0,0.462915713,0.000353035,0.172790768,0.24158274,0.24158274,0.24158274,0.284579749,0.322345618,0.184929746,0.166354531,0.250809671,0.02273211,0.849160273,0.693295526,0.693295526,0.218041487,0.000132247,0.000963489,0.266467741,0.378218025,0.014840515,0.007744355,0.630715333,0.004564149,0.098406748,0.901593252,0.005546366,0.371570827,0.005365848,0.166349113,0.236422593,0.402917649,0.569715142,0.004370365,0.001446522,0.000261006,0.001006899,0.116774194,0.082869439,0.414735081,0.011391112,0.867221327,0.452296862,0.718060036,0.220848705,0.009031254,0.01280191,0.091265019,0.344658003,0.277309497,0.015345952,0.870236368,0.73915041,0.329791831,0.001854125,0.950492623,0.00306666,0.01160162,5390000000.0,3420000000.0,0.593942402,546000000.0,0.67158762,0.242680323,0.870236368,0.329791831,0.112812102,0.723135926,0.4797487,0.577511602,0.325793123,0.019760989,0,0.852800545,0.002042852,0.625627882,0.599528595,0.8439942,0.278089302,0.026818103,0.565283689,1,0.038636292,1
141,0,0.548871447,0.611535107,0.602012956,0.608721659,0.608736073,0.999089257,0.797858988,0.809717748,0.304093485,0.782050537,0.000122343,5640000000.0,0.470511562,0.00010201,0.089482741,0.227550461,0.227550461,0.227550461,0.262078094,0.332708495,0.021991318,0.108378797,0.209836559,0.022139194,0.848087801,0.689605907,0.689605907,0.217640715,9390000000.0,0.000548248,0.264504899,0.384709959,0.016514769,0.016451296,0.630685196,0.004425537,0.096381171,0.903618829,0.01796593,0.372437556,0.005563883,0.108367124,0.206915014,0.395969846,0.068965517,0.000967811,0.006534112,0.000879891,0.001752049,0.02016129,0.030706637,0.405101649,0.002105314,0.846701689,0.569113653,0.551649499,0.17923845,0.016458516,0.014975663,0.063171998,0.357564543,0.276984019,0.000499,0.611114349,0.737818155,0.328654898,0.005536812,0.947693418,0.0028411,0.011287279,0.000374467,0.000393469,0.594082879,0.000324256,0.671619158,0.016535694,0.611114349,0.328654898,0.115212742,0.676440713,0.468001218,0.618144967,0.319209733,0.017763211,0,0.83634843,0.004875138,0.625023733,0.608720876,0.842821706,0.277988359,0.026811974,0.565255741,1,0.039503302,1
148,0,0.663920441,0.692324466,0.709245677,0.630097003,0.630097003,0.999314458,0.79780794,0.809650957,0.303532985,0.781935449,0.000239599,0.000250264,0.493502093,0.000551055,0.147180889,0.212254014,0.212254014,0.212254014,0.279379786,0.345334937,0.039293979,0.160003257,0.230850343,0.022096731,0.848020276,0.689382637,0.689382637,0.21759147,8810000000.0,0.000539114,0.264121034,0.397097724,0.023886977,0.021999733,0.630663279,0.002453971,0.062430087,0.937569913,0.005591722,0.370532988,0.005365848,0.159973619,0.229560365,0.396923728,0.166416792,0.001671857,0.003781109,0.000157826,0.000360849,0.032419355,0.034225871,0.432283304,0.015943837,0.872617155,0.577897866,0.594028185,0.409493661,0.022397879,0.045741364,0.04713129,0.407786033,0.277020227,0.004194274,0.69129815,0.738328073,0.327757836,0.003342843,0.962526445,0.002565276,0.042320959,0.000155552,0.000156977,0.594001527,0.000301675,0.671583248,0.275902855,0.69129815,0.327757836,0.113312331,0.662159992,0.466825172,0.705614456,0.316846865,0.012257268,0,0.879036619,0.001139097,0.624215493,0.630092426,0.844936106,0.276558544,0.026804723,0.565222263,1,0.061798009,1
157,0,0.531857846,0.587331007,0.572300444,0.606545208,0.606494761,0.999039918,0.797514658,0.809403321,0.303595102,0.781668501,0.000135757,4410000000.0,0.473755903,0.000255026,0.241724871,0.282752518,0.282752518,0.282752518,0.26179446,0.335431846,0.102212744,0.132969628,0.21955261,0.022077626,0.848000372,0.689291141,0.689291141,0.217580957,6060000000.0,0.000461407,0.263413914,0.381897098,0.021369044,0.014784395,0.63062458,0.002298033,0.059255676,0.940744324,0.007162184,0.369637181,0.005365848,0.13297344,0.218595883,0.399179822,0.209895052,0.00122143,0.00517725,0.000146744,0.001174841,0.039032258,0.035768107,0.401381696,0.003846363,0.849413608,0.372481919,0.50035394,0.182255836,0.015376471,0.021606474,0.044381174,0.366228655,0.277173859,0.015817128,0.683694221,0.737040065,0.327645623,0.0,0.95623489,0.0023685,0.041818747,8390000000.0,6460000000.0,0.593962931,9220000000.0,0.671580817,0.092701498,0.683694221,0.327645623,0.110933234,0.664706689,0.468251795,0.615736215,0.317114504,0.01371671,0,0.829871379,0.0023737,0.623934278,0.606546826,0.842012506,0.276445512,0.026794096,0.565172374,1,0.065101786,1
159,0,0.58631112,0.613497601,0.626050645,0.615618559,0.615229392,0.999181695,0.797755232,0.809608252,0.30371861,0.78189194,0.000134023,0.000143129,0.486293752,0.000249025,0.148091912,0.210062787,0.210062787,0.210062787,0.25763449,0.338013723,0.029599044,0.125722661,0.210062514,0.022422117,0.850780721,0.691280753,0.691280869,0.217816203,917000000.0,0.000530156,0.264971909,0.387588018,0.027975576,0.024784557,0.63075814,0.006760047,0.125736917,0.874263083,0.005728512,0.376102424,0.005365848,0.124578631,0.207533369,0.39730019,0.095952024,0.001249835,0.005062826,0.000166807,0.000169455,0.026935484,0.050259242,0.428970399,0.0375632,0.857588805,0.475329399,0.494859934,0.241011359,0.025886606,0.037689572,0.03352917,0.35974143,0.277025432,0.005740322,0.243169045,0.739608395,0.327721142,0.020041874,0.944987423,0.002739246,0.013788344,0.000237122,0.000233603,0.594049583,0.000314248,0.671651836,0.250106995,0.243169045,0.327721142,0.12722428,0.721849447,0.475187145,0.642685005,0.327368011,0.010441311,0,0.83707169,0.131213073,0.607448339,0.615620236,0.843354732,0.279681357,0.026828586,0.565330762,1,0.029592077,1
